,freq_bin,contra_control_power,optrode_power,subject
6,15.5,1.0382379,1.0065225,6
7,15.5,1.0207055,0.9999086,7
8,15.5,0.87783694,0.8989842,8
0,16.0,1.1773924,1.3579566,0
1,16.0,1.1396471,1.0685662,1
2,16.0,0.9810156,0.90014184,2
3,16.0,1.0568585,1.0227747,3
4,16.0,1.0344707,0.95752037,4
5,16.0,0.9751822,0.9665091,5
6,16.0,1.047819,0.9884065,6
7,16.0,1.0057793,0.9997657,7
8,16.0,0.85077417,0.8636941,8
0,16.5,1.1727048,1.3493314,0
1,16.5,1.1384794,1.0873876,1
2,16.5,0.9742645,0.89828724,2
3,16.5,1.0623537,1.018675,3
4,16.5,1.0288721,0.94909096,4
5,16.5,0.9733479,0.9604122,5
6,16.5,1.0432862,0.9994316,6
7,16.5,1.0101126,0.9949839,7
8,16.5,0.83539313,0.8363804,8
0,17.0,1.166097,1.3348641,0
1,17.0,1.1616131,1.1102356,1
2,17.0,0.95930165,0.9077562,2
3,17.0,1.0818425,1.023979,3
4,17.0,1.0353712,0.96340716,4
5,17.0,0.98995394,0.97230244,5
6,17.0,1.0153246,0.9970618,6
7,17.0,1.0131586,1.0008291,7
8,17.0,0.82718,0.83331686,8
0,17.5,1.1473505,1.3421874,0
1,17.5,1.157343,1.1156363,1
2,17.5,0.9713943,0.92708385,2
3,17.5,1.0911617,1.0490583,3
4,17.5,1.0553721,0.9955942,4
5,17.5,1.0005255,0.9758543,5
6,17.5,1.0204686,0.98870176,6
7,17.5,1.0309756,1.0172083,7
8,17.5,0.82537603,0.8344345,8
0,18.0,1.1148689,1.3313944,0
1,18.0,1.1446036,1.1368338,1
2,18.0,0.98014957,0.9403837,2
3,18.0,1.1006502,1.0742867,3
4,18.0,1.0835502,1.0351598,4
5,18.0,0.99283886,0.97170585,5
6,18.0,1.0544363,0.9895715,6
7,18.0,1.0451077,1.0107604,7
8,18.0,0.8314162,0.84250194,8
0,18.5,1.0986118,1.2926067,0
1,18.5,1.112428,1.1035203,1
2,18.5,0.9784753,0.9385166,2
3,18.5,1.102419,1.0694846,3
4,18.5,1.0706812,1.0340708,4
5,18.5,0.99778324,0.98460406,5
6,18.5,1.0727862,1.0039538,6
7,18.5,1.0480558,1.0041045,7
