,freq_bin,contra_control_power,optrode_power,subject
5,18.5,1.15542,1.0511838,5
0,19.0,1.0346712,1.0570117,0
1,19.0,1.0384755,1.0571058,1
2,19.0,1.0791465,0.9163829,2
3,19.0,1.0719886,1.0920151,3
4,19.0,1.1998554,1.1368527,4
5,19.0,1.1253349,1.0364896,5
0,19.5,1.055582,1.0425831,0
1,19.5,1.0446109,1.0517213,1
2,19.5,1.0747192,0.9178647,2
3,19.5,1.0826283,1.0952077,3
4,19.5,1.1897748,1.1312641,4
5,19.5,1.1160153,1.0281372,5
